location,latitude,longitude
ISLAVISTATHEATER,34.411415,-119.85465
SANRAFAEL,34.411365,-119.852618
CARRILLO,34.409986,-119.852546
THEATERANDDANCE,34.412555,-119.851892
EVENTSCENTER,34.413804,-119.851588
GIRVETZ,34.414056,-119.84683
STUDENTHEALTH,34.415168,-119.85305
HSSB,34.413741,-119.850077
ASBIKESHOP,34.414399,-119.849429
GGSESSMS,34.414627,-119.85025
POLLOCKTHEATER,34.414671,-119.849278
ROBERTSONGYM,34.416602,-119.849578
RECREATIONCENTER,34.417485,-119.848502
LOT30,34.417737,-119.853023
HARDERSTADIUM,34.419977,-119.853378
SIERRAMADRE,34.420898,-119.870167
NORTHHALL,34.415306,-119.847737
SOUTHHALL,34.414009,-119.847688
ARTS,34.41277,-119.848901
MUSIC,34.41259,-119.847592
CAMPBELL,34.416612,-119.845334
PHELPS,34.416611,-119.844285
CHEMISTRY,34.415696,-119.842306
CNSI,34.415858,-119.840049
PSB,34.414565,-119.842136
BROIDA,34.414329,-119.843444
BREN,34.413523,-119.842423
LIBRARY,34.412807,-119.845575
ORTEGA,34.410814,-119.846774
SANMIGUEL,34.410287,-119.846885
SANNICOLAS,34.409545,-119.846242
DLG,34.409909,-119.84505
CREATIVESTUDIES,34.410914,-119.846121
SANTAROSA,34.410904,-119.845082
LOT17,34.419907,-119.850387
ANACAPA,34.411016,-119.843052
BUCHANAN,34.415413,-119.844588
ENGI,34.415575,-119.841492
ENGII,34.414793,-119.841462
SANTACRUZ,34.409936,-119.84372
MCC,34.411548,-119.84659
NOBLEHALL,34.412921,-119.843999
MARINEBIOTECHNOLOGYLABORATORY,34.408264,-119.842949
BIOII,34.411715,-119.842564
LSB,34.412114,-119.843621
WESTCAMPUS,34.418482,-119.871397
MARINESCIENCEBUILDING,34.412523,-119.842216
COUNSELINGCAREER,34.413236,-119.849263
CSOOFFICE,34.422018,-119.852903
STORKETOWER,34.412662,-119.848445
EASTGATE,34.414779,-119.839663
INTERCOLLEGIATEATHLETICS,34.415974,-119.850135
IVFOOTPATROL,34.411302,-119.853879
BUSLOOP,34.41528,-119.847884
PSYCHOLOGY,34.412259,-119.844971
SAASB,34.416105,-119.847728
Q1,34.40906,-119.852876
Q2,34.409026,-119.851741
Q3,34.409945,-119.85165
DEANZA,34.409591,-119.852926
LOMAPELONACENTER,34.410603,-119.851731
ARROWHEAD,34.417734,-119.854786
BRADBURY,34.417712,-119.85585
CASTAIC,34.417701,-119.856494
DONNER,34.417712,-119.857505
ENCINO,34.417701,-119.858175
STORKEFIELD,34.419004,-119.855088
SANTAYNEZ,34.418801,-119.8624
EMBARCADERO,34.412149,-119.855671
WESTGATE,34.416959,-119.855699
WESTWINDS,34.417065,-119.86071
ELDORADO,34.417133,-119.861298
TROPICANADELNORTE,34.417018,-119.854684
SANTACATALINA,34.417898,-119.868053
STORKEHOUSING,34.422127,-119.86344
CAESERSTADIUM,34.419048,-119.852735
SANCLEMENTE,34.41797,-119.859055
